Algorithm,Size,Comparisons,Exchanges,Time(ms)
Insertion Sort,4601,5260225,5264825,1
Insertion Sort,3449,2969418,2972866,0
Insertion Sort,1782,787058,788839,0
Insertion Sort,6990,12270678,12277667,3
Insertion Sort,4531,5151345,5155875,1
Insertion Sort,1052,276700,277751,0
Insertion Sort,6237,9618499,9624735,2
Insertion Sort,4905,6020114,6025018,1
Insertion Sort,6553,10740857,10747409,3
Insertion Sort,130,4380,4509,0
Insertion Sort,5482,7526994,7532475,2
Insertion Sort,5244,6894910,6900153,2
Insertion Sort,1252,392980,394231,0
Insertion Sort,2596,1649264,1651859,0
Insertion Sort,3874,3716536,3720409,1
Insertion Sort,3296,2701622,2704917,0
Insertion Sort,9934,24767255,24777188,7
Insertion Sort,7972,16015047,16023018,4
Insertion Sort,3820,3626927,3630746,1
Insertion Sort,9210,21180550,21189759,6
Insertion Sort,5465,7378612,7384076,2
Insertion Sort,4657,5508907,5513563,1
Insertion Sort,695,117600,118294,0
Insertion Sort,3380,2835147,2838526,0
Insertion Sort,6488,10669295,10675782,3
Insertion Sort,5145,6555628,6560772,1
Insertion Sort,1400,480634,482033,0
Insertion Sort,7110,12603606,12610715,3
Insertion Sort,5886,8736091,8741976,2
Insertion Sort,8569,18532211,18540779,5
Insertion Sort,4606,5178747,5183352,1
Insertion Sort,6740,11255794,11262533,3
Insertion Sort,8225,16920553,16928777,5
Insertion Sort,2159,1158063,1160221,0
Insertion Sort,916,208167,209082,0
Insertion Sort,5761,8365820,8371580,2
Insertion Sort,314,24105,24418,0
Insertion Sort,7072,12668947,12676018,3
Insertion Sort,6882,11800636,11807517,3
Insertion Sort,7937,15684311,15692247,4
Insertion Sort,1485,544829,546313,0
Insertion Sort,2358,1379767,1382124,0
Insertion Sort,5792,8419516,8425307,2
Insertion Sort,1564,618259,619822,0
Insertion Sort,4447,4984743,4989189,1
Insertion Sort,2737,1890904,1893640,0
Insertion Sort,4009,4025613,4029621,1
Insertion Sort,9790,24187025,24196814,7
Insertion Sort,1480,557107,558586,0
Insertion Sort,31,231,261,0
Insertion Sort,5047,6327852,6332898,1
Insertion Sort,2875,2113560,2116434,0
Insertion Sort,9687,23626852,23636538,6
Insertion Sort,6806,11399931,11406736,3
Insertion Sort,5697,8210925,8216621,2
Insertion Sort,6992,12068007,12074998,3
Insertion Sort,1836,860977,862812,0
Insertion Sort,4125,4247891,4252015,1
Insertion Sort,1630,658919,660548,0
Insertion Sort,7972,15908318,15916289,4
Insertion Sort,9686,23526401,23536086,6
Insertion Sort,3115,2395696,2398810,0
Insertion Sort,7012,12390833,12397844,3
Insertion Sort,7054,12395295,12402348,3
Insertion Sort,1866,883878,885743,0
Insertion Sort,2935,2147954,2150888,0
Insertion Sort,1458,534429,535886,0
Insertion Sort,5792,8306696,8312487,2
Insertion Sort,5580,7868721,7874300,2
Insertion Sort,8014,16071352,16079365,4
Insertion Sort,8150,16540212,16548361,4
Insertion Sort,3041,2315962,2319002,0
Insertion Sort,2109,1110720,1112828,0
Insertion Sort,6900,11949896,11956795,3
Insertion Sort,252,15431,15682,0
Insertion Sort,9545,22951588,22961132,6
Insertion Sort,2610,1652423,1655032,0
Insertion Sort,2913,2098775,2101687,0
Insertion Sort,9731,23706720,23716450,6
Insertion Sort,1877,905441,907317,0
Insertion Sort,1933,935636,937568,0
Insertion Sort,205,10493,10697,0
Insertion Sort,5661,8043949,8049609,2
Insertion Sort,1418,501471,502888,0
Insertion Sort,5418,7282678,7288095,2
Insertion Sort,838,172005,172842,0
Insertion Sort,5428,7338576,7344003,2
Insertion Sort,8278,17185677,17193954,4
Insertion Sort,407,41770,42176,0
Insertion Sort,5757,8324910,8330666,2
Insertion Sort,6788,11544836,11551623,3
Insertion Sort,7250,12980381,12987630,3
Insertion Sort,3200,2547940,2551139,0
Insertion Sort,9745,23898283,23908027,7
Insertion Sort,776,153309,154084,0
Insertion Sort,7267,13210040,13217306,3
Insertion Sort,8839,19562292,19571130,5
Insertion Sort,8516,18127299,18135814,6
Insertion Sort,2932,2169740,2172671,0
Insertion Sort,2224,1266874,1269097,0
Insertion Sort,1069,285078,286146,0
Insertion Sort,2986,2211069,2214054,0
Insertion Sort,7181,12790978,12798158,3
Insertion Sort,3422,2895587,2899008,0
Insertion Sort,6847,11678211,11685057,3
Insertion Sort,3823,3645785,3649607,1
Insertion Sort,4464,4967207,4971670,1
Insertion Sort,567,80377,80943,0
Insertion Sort,1040,270339,271378,0
Insertion Sort,2040,1048390,1050429,0
Insertion Sort,5654,8007396,8013049,2
Insertion Sort,218,12394,12611,0
Insertion Sort,5167,6546265,6551431,2
Insertion Sort,9121,20567255,20576375,6
Insertion Sort,3026,2288052,2291077,0
Insertion Sort,6844,11691190,11698033,3
Insertion Sort,645,106508,107152,0
Insertion Sort,1542,607231,608772,0
Insertion Sort,1875,902205,904079,0
Insertion Sort,5643,8062695,8068337,2
Insertion Sort,4781,5776110,5780890,1
Insertion Sort,3102,2457933,2461034,0
Insertion Sort,3533,3159376,3162908,0
Insertion Sort,1506,559903,561408,0
Insertion Sort,8448,17727257,17735704,5
Insertion Sort,5473,7403523,7408995,2
Insertion Sort,1854,873339,875192,0
Insertion Sort,6841,11683149,11689989,3
Insertion Sort,9404,22087319,22096722,6
Insertion Sort,8698,18877133,18885830,5
Insertion Sort,5296,6980840,6986135,2
Insertion Sort,6404,10182010,10188413,3
Insertion Sort,4576,5265546,5270121,1
Insertion Sort,3815,3601575,3605389,1
Insertion Sort,3274,2682421,2685694,0
Insertion Sort,8828,19448767,19457594,5
Insertion Sort,7927,15566444,15574370,4
Insertion Sort,1437,509732,511168,0
Insertion Sort,6019,9044446,9050464,2
Insertion Sort,7339,13484203,13491541,3
Insertion Sort,8318,17321141,17329458,4
Insertion Sort,5193,6751212,6756404,1
Insertion Sort,4900,6011761,6016660,1
Insertion Sort,7041,12456047,12463087,3
Insertion Sort,5908,8808221,8814128,2
Insertion Sort,7505,14012999,14020503,3
Insertion Sort,680,118360,119039,0
Insertion Sort,9283,21520814,21530096,6
Insertion Sort,3821,3641309,3645129,1
Insertion Sort,4121,4333510,4337630,1
Insertion Sort,6004,9021708,9027711,2
Insertion Sort,1891,877377,879267,0
Insertion Sort,5810,8355657,8361466,2
Insertion Sort,5010,6273822,6278831,1
Insertion Sort,3181,2524832,2528012,0
Insertion Sort,5594,7878061,7883654,2
Insertion Sort,1785,804392,806176,0
Insertion Sort,5628,7871187,7876814,2
Insertion Sort,2202,1216754,1218955,0
Insertion Sort,7410,13796217,13803626,3
Insertion Sort,6429,10504309,10510737,3
Insertion Sort,9852,24453617,24463468,6
Insertion Sort,1879,899941,901819,0
Insertion Sort,9745,23756761,23766505,6
Insertion Sort,6938,12191996,12198933,3
Insertion Sort,1049,279545,280593,0
Insertion Sort,3266,2626993,2630258,0
Insertion Sort,3023,2273825,2276847,0
Insertion Sort,5223,6805148,6810370,1
Insertion Sort,6433,10379992,10386424,2
Insertion Sort,4662,5371067,5375728,1
Insertion Sort,4936,5994914,5999849,1
Insertion Sort,1744,777816,779559,0
Insertion Sort,4792,5795861,5800652,1
Insertion Sort,2914,2104366,2107279,0
Insertion Sort,6157,9563293,9569449,2
Insertion Sort,8734,19022624,19031357,5
Insertion Sort,1312,426900,428211,0
Insertion Sort,2838,2043682,2046519,0
Insertion Sort,1317,426603,427919,0
Insertion Sort,5814,8413654,8419467,2
Insertion Sort,9204,21190143,21199346,5
Insertion Sort,7961,16018054,16026014,4
Insertion Sort,1057,282003,283059,0
Insertion Sort,2971,2159317,2162287,0
